timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_L_raw,fsr_R_raw,fsr_L,fsr_R,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1769361739.006126,2.248097,12.215180,-9.683025,0.042924,0.746855,0.748088,0.016158,1769361739.006126,,,,,,-3.299115,-15.135634,,,1769361738.991716,14.552012,-3.022191,,,1769361738.889175
1769361739.034003,2.275974,12.215180,-9.683025,0.030047,0.522799,0.523661,0.016158,1769361739.034003,,,,,,-3.299115,-15.135634,,,1769361738.991716,10.362583,-4.486649,,,1769361738.991716
1769361739.066887,2.308857,12.215180,-9.683025,0.021033,0.365959,0.366563,0.016158,1769361739.066887,,,,,,-3.299115,-15.135634,,,1769361738.991716,10.362583,-4.486649,,,1769361738.991716
1769361739.095706,2.337677,12.215180,-9.683025,0.014723,0.256171,0.256594,0.016158,1769361739.095706,,,,,,-3.299115,-15.135634,,,1769361738.991716,10.362583,-4.486649,,,1769361738.991716
1769361739.126219,2.368190,12.285878,-9.644716,0.705402,0.555973,0.898164,0.016158,1769361739.126219,,,,,,-1.214520,-15.017458,,,1769361739.116599,15.209811,-2.600225,,,1769361739.093709
1769361739.163326,2.405297,12.285878,-9.644716,0.493782,0.389181,0.628714,0.016158,1769361739.163326,,,,,,-1.214520,-15.017458,,,1769361739.116599,15.209811,-2.600225,,,1769361739.093709
1769361739.188660,2.430630,12.285878,-9.644716,0.345647,0.272427,0.440100,0.016158,1769361739.188660,,,,,,-1.214520,-15.017458,,,1769361739.116599,15.209811,-2.600225,,,1769361739.093709
1769361739.246559,2.488529,12.285878,-9.644716,0.241953,0.190699,0.308070,0.016158,1769361739.246559,,,,,,0.571481,-14.980007,,,1769361739.208337,12.468845,-1.617179,,,1769361739.194288
1769361739.278277,2.520248,12.285878,-9.644716,0.169367,0.133489,0.215649,0.016158,1769361739.278277,,,,,,0.571481,-14.980007,,,1769361739.208337,12.468845,-1.617179,,,1769361739.194288
1769361739.309278,2.551249,12.285878,-9.644716,0.118557,0.093442,0.150954,0.016158,1769361739.309278,,,,,,2.269838,-14.990739,,,1769361739.296522,12.468845,-1.617179,,,1769361739.194288
