timestamp,leftDistance,rightDistance,collisionFrames,fitEvents,currentFPS
95.981,0,0,10935,3,140.29
96.083,0,0,10950,3,146.4
96.18,0,0,10967,3,175.14
96.282,0,0,10982,3,146.81
96.385,0,0,10997,3,146.55
96.482,0,0,11014,3,175.3
96.58,0,0,11028,3,141.76
96.684,0,0,11042,3,135.51
96.781,0,0,11059,3,173.98
96.88,0,0,11072,3,131.88
96.984,0,0,11087,3,144.95
97.082,0,0,11104,3,173.4
97.184,0,0,11119,3,146.47
97.287,0,0,11134,3,144.94
97.383,0,0,11151,3,177.16
97.481,0,0,11165,3,143.54
97.586,0,0,11180,3,142.39
97.681,0,0,11195,3,158.26
97.784,0,0,11210,3,145.2
97.89,0,0,11225,3,141.8
97.984,0,0,11241,3,170.15
98.085,0,0,11255,3,138.52
98.195,0,0,11271,3,146.21
98.28,0,0,11286,3,175.13
98.383,0,0,11301,3,145.72
98.501,0,0,11319,3,152.96
98.581,0,0,11333,3,174.14
98.684,0,0,11348,3,146.29
98.783,0,0,11366,3,181.06
98.882,0,0,11380,3,142.17
98.982,0,0,11393,3,130.04
99.084,0,0,11411,3,176.06
99.184,0,0,11425,3,140.29
99.281,0,0,11439,3,143.69
99.384,0,0,11457,3,175.53
99.481,0,0,11471,3,144.7
99.582,0,0,11486,3,148.33
99.682,0,0,11504,3,179.2
99.781,0,0,11518,3,141.68
99.882,0,0,11533,3,148.52
99.985,0,0,11550,3,164.3
100.082,0,0,11563,3,133.92
100.185,0,0,11578,3,146.87
100.281,0,0,11595,3,176.58
100.384,0,0,11610,3,144.8
100.491,0,0,11626,3,150.81
100.582,0,0,11642,3,175.52
100.685,0,0,11657,3,145.52
100.799,0,0,11674,3,149.14
100.885,0,0,11689,3,174.07
100.981,0,0,11702,3,135.42
101.085,0,0,11719,3,163.29
101.182,0,0,11731,3,124.2
101.284,0,0,11746,3,145.98
101.382,0,0,11763,3,174.17
101.484,0,0,11778,3,147.85
101.582,0,0,11792,3,142.07
101.682,0,0,11809,3,170.91
101.785,0,0,11824,3,144.61
101.882,0,0,11838,3,144.54
101.981,0,0,11855,3,172.54
102.084,0,0,11870,3,145.07
102.184,0,0,11884,3,140.21
102.285,0,0,11901,3,168.57
102.382,0,0,11915,3,144.63
102.491,0,0,11931,3,146.46
102.582,0,0,11947,3,174.9
102.683,0,0,11961,3,138.48
102.798,0,0,11978,3,148.19
102.885,0,0,11993,3,172.02
102.983,0,0,12007,3,143.28
103.08,0,0,12024,3,174.78
103.183,0,0,12039,3,145.46
103.28,0,0,12053,3,144.14
103.381,0,0,12070,3,168.96
103.484,0,0,12084,3,135.96
103.581,0,0,12098,3,144.26
103.684,0,0,12116,3,174.45
103.785,0,0,12130,3,139.38
103.884,0,0,12143,3,131.42
103.985,0,0,12159,3,158.67
104.081,0,0,12172,3,134.36
104.183,0,0,12186,3,137.29
104.281,0,0,12203,3,174.72
104.384,0,0,12218,3,144.65
104.487,0,0,12232,3,135.99
104.584,0,0,12247,3,155.6
104.682,0,0,12259,3,122.54
104.791,0,0,12275,3,145.99
104.884,0,0,12291,3,172.23
104.983,0,0,12305,3,142.07
105.093,0,0,12321,3,145.14
105.185,0,0,12337,3,173.38
105.282,0,0,12351,3,144
105.402,0,0,12369,3,150.62
105.483,0,0,12383,3,172.8
105.585,0,0,12398,3,146.36
105.682,0,0,12415,3,176.3
105.784,0,0,12429,3,137.24
105.883,0,0,12442,3,130.45
105.981,0,0,12459,3,174.7
106.084,0,0,12473,3,136.08
106.183,0,0,12487,3,140.32
106.283,0,0,12504,3,171.21
106.384,0,0,12519,3,147.4
106.487,0,0,12534,3,146.03
106.584,0,0,12551,3,175.98
106.683,0,0,12565,3,140.64
106.789,0,0,12580,3,142.07
106.885,0,0,12597,3,177.49
106.98,0,0,12610,3,136.01
107.094,0,0,12626,3,140.16
107.184,0,0,12642,3,178.18
107.282,0,0,12656,3,143.37
107.399,0,0,12674,3,153.38
107.484,0,0,12689,3,177.53
107.581,0,0,12703,3,144.07
107.681,0,0,12721,3,180.62
107.783,0,0,12736,3,146.05
107.881,0,0,12750,3,142.54
107.985,0,0,12768,3,174.25
108.084,0,0,12782,3,140.65
108.185,0,0,12796,3,138.67
108.285,0,0,12812,3,160.71
108.383,0,0,12824,3,122.29
108.484,0,0,12839,3,147.77
108.585,0,0,12857,3,179.45
108.681,0,0,12871,3,144.69
108.784,0,0,12886,3,145.88
108.881,0,0,12903,3,176.61
108.984,0,0,12918,3,145.34
109.08,0,0,12932,3,145.19
109.183,0,0,12949,3,165.99
109.283,0,0,12963,3,139.32
109.39,0,0,12979,3,149.67
109.482,0,0,12995,3,174.82
109.58,0,0,13009,3,141.74
109.697,0,0,13027,3,154.36
109.786,0,0,13042,3,169.3
109.883,0,0,13056,3,144.21
110.001,0,0,13074,3,151.67
110.082,0,0,13087,3,161.28
110.182,0,0,13100,3,130.39
110.283,0,0,13118,3,178.21
110.382,0,0,13132,3,140.95
110.483,0,0,13147,3,148.74
110.582,0,0,13164,3,171.43
110.684,0,0,13179,3,147
110.783,0,0,13193,3,141.94
110.884,0,0,13211,3,176.65
110.986,0,0,13225,3,138.37
111.081,0,0,13238,3,135.75
111.183,0,0,13255,3,166.96
111.282,0,0,13269,3,142.25
111.389,0,0,13285,3,148.97
111.482,0,0,13301,3,172.5
111.585,0,0,13316,3,145.12
111.696,0,0,13333,3,152.94
111.781,0,0,13348,3,176.24
111.882,0,0,13363,3,149.42
111.981,0,0,13380,3,170.88
112.083,0,0,13394,3,137.46
112.181,0,0,13408,3,143.5
112.284,0,0,13426,3,174.62
112.382,0,0,13440,3,142.4
112.485,0,0,13455,3,145.32
112.582,0,0,13472,3,176.09
112.68,0,0,13486,3,142.54
112.783,0,0,13501,3,146.07
112.885,0,0,13519,3,176.32
112.98,0,0,13532,3,136.01
113.083,0,0,13546,3,136.41
113.181,0,0,13563,3,174.08
113.285,0,0,13578,3,144.58
113.387,0,0,13593,3,146.62
113.484,0,0,13610,3,175.23
113.584,0,0,13624,3,139.66
113.692,0,0,13640,3,148.66
113.783,0,0,13656,3,175.98
113.881,0,0,13670,3,142.74
113.998,0,0,13687,3,145.06
114.081,0,0,13700,3,156.25
114.181,0,0,13714,3,140.39
114.282,0,0,13732,3,177.94
114.384,0,0,13747,3,147.06
114.482,0,0,13761,3,142.8
114.585,0,0,13779,3,174.48
114.683,0,0,13793,3,143.1
114.781,0,0,13807,3,143.25
114.884,0,0,13825,3,174.61
114.98,0,0,13838,3,134.59
115.084,0,0,13852,3,134.94
115.182,0,0,13869,3,174.05
115.281,0,0,13883,3,141.55
115.383,0,0,13898,3,147.22
115.48,0,0,13915,3,174.09
115.583,0,0,13930,3,145.91
115.687,0,0,13945,3,144.45
115.784,0,0,13962,3,175.11
115.883,0,0,13976,3,141.34
115.983,0,0,13990,3,140.74
116.081,0,0,14006,3,161.79
116.185,0,0,14021,3,145.1
116.285,0,0,14035,3,139.82
116.382,0,0,14052,3,175.22
116.485,0,0,14067,3,146.15
116.594,0,0,14083,3,146.75
116.681,0,0,14098,3,172.24
116.784,0,0,14113,3,145.1
116.898,0,0,14130,3,149.49
116.982,0,0,14144,3,166.22
