timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_analog,fsr_digital,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1765807800.049908,1.842996,8.372586,-8.410710,0.013163,0.000096,0.013163,1.233869,1765807800.049908,,,,,,0.542229,-0.060712,1765807800.039150,,,3.357432,-0.165473,1765807799.911605
1765807800.172529,1.965618,8.372586,-8.410710,0.009214,0.000067,0.009214,1.233869,1765807800.172529,,,,,,0.612139,-0.083717,1765807800.115297,,,1.066560,-0.163822,1765807800.114297
1765807800.204644,1.997733,8.372586,-8.410710,0.006450,0.000047,0.006450,1.233869,1765807800.204644,,,,,,0.612139,-0.083717,1765807800.115297,,,1.066560,-0.163822,1765807800.114297
1765807800.234090,2.027178,8.372586,-8.410710,0.004515,0.000033,0.004515,1.233869,1765807800.234090,,,,,,0.612139,-0.083717,1765807800.115297,,,1.066560,-0.163822,1765807800.114297
1765807800.266165,2.059253,8.372586,-8.410710,0.003160,0.000023,0.003161,1.233869,1765807800.266165,,,,,,0.610807,-0.128678,1765807800.240608,,,0.320561,-0.507287,1765807800.216181
1765807800.313983,2.107071,8.372586,-8.410710,0.002212,0.000016,0.002212,1.233869,1765807800.313983,,,,,,0.610807,-0.128678,1765807800.240608,,,0.320561,-0.507287,1765807800.216181
1765807800.341957,2.135045,8.372586,-8.410710,0.001549,0.000011,0.001549,1.233869,1765807800.341957,,,,,,0.601026,-0.102703,1765807800.333158,,,0.320561,-0.507287,1765807800.216181
1765807800.371727,2.164816,8.304659,-8.449253,-0.683418,-0.388386,0.786069,1.253459,1765807800.371727,,,,,,0.601026,-0.102703,1765807800.333158,,,0.226266,-0.079565,1765807800.317010
1765807800.401793,2.194881,8.304659,-8.449253,-0.478393,-0.271870,0.550248,1.253459,1765807800.401793,,,,,,0.601026,-0.102703,1765807800.333158,,,0.226266,-0.079565,1765807800.317010
1765807800.443301,2.236389,8.304659,-8.449253,-0.334875,-0.190309,0.385174,1.253459,1765807800.443301,,,,,,0.577903,-0.085062,1765807800.419418,,,-0.003538,0.095268,1765807800.418415
1765807800.477898,2.270987,8.304659,-8.449253,-0.234412,-0.133216,0.269622,1.253459,1765807800.477898,,,,,,0.577903,-0.085062,1765807800.419418,,,-0.003538,0.095268,1765807800.418415
1765807800.509278,2.302367,8.304659,-8.449253,-0.164089,-0.093252,0.188735,1.253459,1765807800.509278,,,,,,0.577903,-0.085062,1765807800.419418,,,-0.003538,0.095268,1765807800.418415
1765807800.541994,2.335082,8.304659,-8.449253,-0.114862,-0.065276,0.132115,1.253459,1765807800.541994,,,,,,0.550966,-0.089506,1765807800.533458,,,-0.257899,0.049666,1765807800.522919
1765807800.573584,2.366672,8.304659,-8.449253,-0.080403,-0.045693,0.092480,1.253459,1765807800.573584,,,,,,0.550966,-0.089506,1765807800.533458,,,-0.257899,0.049666,1765807800.522919
1765807800.700247,2.493335,8.304659,-8.449253,-0.056282,-0.031985,0.064736,1.253459,1765807800.700247,,,,,,0.434890,-0.095299,1765807800.641109,,,-1.188273,-0.006668,1765807800.622380
1765807800.740727,2.533815,8.234923,-8.452941,-0.556214,-0.049721,0.558432,1.240733,1765807800.740727,,,,,,0.434890,-0.095299,1765807800.641109,,,-1.188273,-0.006668,1765807800.622380
1765807800.771801,2.564889,8.234923,-8.452941,-0.389350,-0.034805,0.390902,1.240733,1765807800.771801,,,,,,0.450608,-0.163543,1765807800.747248,,,-0.425530,-0.682730,1765807800.723197
1765807800.802874,2.595963,8.234923,-8.452941,-0.272545,-0.024363,0.273631,1.240733,1765807800.802874,,,,,,0.450608,-0.163543,1765807800.747248,,,-0.425530,-0.682730,1765807800.723197
1765807800.836061,2.629149,8.234923,-8.452941,-0.190781,-0.017054,0.191542,1.240733,1765807800.836061,,,,,,0.403019,-0.185471,1765807800.825441,,,-0.806522,-0.457657,1765807800.824439
1765807800.955674,2.748763,8.234923,-8.452941,-0.133547,-0.011938,0.134079,1.240733,1765807800.955674,,,,,,0.403450,-0.166921,1765807800.926091,,,-0.340823,-0.149619,1765807800.925090
1765807800.988339,2.781428,8.234923,-8.452941,-0.093483,-0.008357,0.093856,1.240733,1765807800.988339,,,,,,0.403450,-0.166921,1765807800.926091,,,-0.340823,-0.149619,1765807800.925090
1765807801.020150,2.813239,8.234923,-8.452941,-0.065438,-0.005850,0.065699,1.240733,1765807801.020150,,,,,,0.403450,-0.166921,1765807800.926091,,,-0.340823,-0.149619,1765807800.925090
1765807801.084975,2.878063,8.234923,-8.452941,-0.045807,-0.004095,0.045989,1.240733,1765807801.084975,,,,,,0.352083,-0.105580,1765807801.041637,,,-0.860378,0.465402,1765807801.024684
1765807801.129093,2.922182,8.234923,-8.452941,-0.032065,-0.002866,0.032192,1.240733,1765807801.129093,,,,,,0.352083,-0.105580,1765807801.041637,,,-0.860378,0.465402,1765807801.024684
1765807801.159044,2.952132,8.234923,-8.452941,-0.022445,-0.002006,0.022535,1.240733,1765807801.159044,,,,,,0.263098,-0.098165,1765807801.148400,,,-0.860378,0.465402,1765807801.024684
1765807801.190189,2.983277,8.234923,-8.452941,-0.015712,-0.001404,0.015774,1.240733,1765807801.190189,,,,,,0.263098,-0.098165,1765807801.148400,,,-1.219206,0.159434,1765807801.125578
1765807801.229776,3.022864,8.234923,-8.452941,-0.010998,-0.000983,0.011042,1.240733,1765807801.229776,,,,,,0.245738,-0.022681,1765807801.228272,,,-1.219206,0.159434,1765807801.125578
1765807801.266971,3.060060,8.234923,-8.452941,-0.007699,-0.000688,0.007729,1.240733,1765807801.266971,,,,,,0.245738,-0.022681,1765807801.228272,,,-0.756699,0.899838,1765807801.227269
1765807801.354864,3.147953,8.306461,-8.484109,0.238787,-0.106866,0.261610,1.285775,1765807801.354864,,,,,,0.251797,0.074924,1765807801.330266,,,-0.275157,1.261968,1765807801.329262
